station,eval_year,date,dap,sim_day,bc_two_stage_irrigation_00609,bc_two_stage_n_00609,ft0_irrigation_00610,ft0_n_00610,expert_schedule_irrigation,expert_schedule_n,irrigation_diff,n_diff,is_event_day,notes
HLA,2011,2011-06-26,49.0,53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,
HLA,2011,2011-06-27,50.0,54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,
HLA,2011,2011-06-28,51.0,55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,
HLA,2011,2011-06-29,52.0,56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,
HLA,2011,2011-06-30,53.0,57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,
HLA,2011,2011-07-01,54.0,58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,
HLA,2011,2011-07-02,55.0,59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,
HLA,2011,2011-07-03,56.0,60,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,
HLA,2011,2011-07-04,57.0,61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,
HLA,2011,2011-07-05,58.0,62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,
HLA,2011,2011-07-06,59.0,63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,
HLA,2011,2011-07-07,60.0,64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,
HLA,2011,2011-07-08,61.0,65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,
HLA,2011,2011-07-09,62.0,66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,
HLA,2011,2011-07-10,63.0,67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,
HLA,2011,2011-07-11,64.0,68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,
HLA,2011,2011-07-12,65.0,69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,
HLA,2011,2011-07-13,66.0,70,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,
