station,year,policy_type,policy_name,final_grnwt,total_irrigation,total_n_fertilizer,profit_score,mean_swfac,mean_nstres,yield_loss_vs_ppo,input_reduction_vs_ppo,notes
SYA,2012,constrained_ppo_finetune,FT1_bc_penalty_lambda_0p5,8443.612060546875,300.0,450.0,-178.06387939453123,0.0,0.00042477537084508826,-0.22800607309371645,0.0,constrained_ppo_eval
SYA,2014,constrained_ppo_finetune,FT1_bc_penalty_lambda_0p5,10361.763916015625,300.0,450.0,-158.88236083984373,0.0,0.0003979040516747369,-0.5069746129485715,0.0,constrained_ppo_eval
SYA,2015,constrained_ppo_finetune,FT1_bc_penalty_lambda_0p5,10199.031982421875,300.0,450.0,-160.50968017578123,0.0,0.0003445540274773444,-0.48330751392667903,0.0,constrained_ppo_eval
LCA,2010,constrained_ppo_finetune,FT1_bc_penalty_lambda_0p5,7992.0489501953125,80.25917559862137,421.73739671707153,-65.64344747662544,0.0060485899448394775,0.0002987663383069246,-0.1623324919390546,0.39763759987221825,constrained_ppo_eval
LCA,2011,constrained_ppo_finetune,FT1_bc_penalty_lambda_0p5,9111.873168945312,81.16277307271957,450.0,-61.96265484690666,0.0,0.0005292349001940559,-0.32519536763272555,0.3647287115454674,constrained_ppo_eval
LCA,2008,constrained_ppo_finetune,FT1_bc_penalty_lambda_0p5,9225.650634765625,81.30533024668694,450.0,-60.89615877568721,0.0,0.0002793096360706148,-0.3417427194066661,0.3644911162555218,constrained_ppo_eval
LCA,2009,constrained_ppo_finetune,FT1_bc_penalty_lambda_0p5,9045.416259765625,80.89592754840851,450.0,-62.493801176548004,0.0,0.00024068121816597733,-0.3155301334312376,0.3651734540859858,constrained_ppo_eval
HLA,2011,constrained_ppo_finetune,FT2_residual_bc_prior,120.56035995483398,136.86384484171867,0.2839624881744385,-67.2973094433546,0.0,0.41902972903193497,0.98246617050413,0.7715780780547195,constrained_ppo_eval
HLA,2007,constrained_ppo_finetune,FT2_residual_bc_prior,3009.952392578125,164.39069285988808,80.98878145217896,-72.34301786720752,0.0,0.17335764313704216,0.5622442396329727,0.636027976953321,constrained_ppo_eval
HLA,2009,constrained_ppo_finetune,FT2_residual_bc_prior,160.10128021240234,130.037609487772,0.5382239818572998,-63.552347937226294,0.0,0.3864545392915138,0.9767154929666232,0.7826726242072053,constrained_ppo_eval
SYA,2012,constrained_ppo_finetune,FT2_residual_bc_prior,6512.0318603515625,101.71564072370529,74.73149299621582,-4.420375007390973,0.0,0.10569917272638392,0.052915432951149304,0.7474389399091402,constrained_ppo_eval
