schedule_id,station,train_year,total_N,total_irrigation,N1_DAP,N1_amount,N2_DAP,N2_amount,N3_DAP,N3_amount,I1_DAP,I1_amount,I2_DAP,I2_amount,I3_DAP,I3_amount
SYA2012_S0095,SYA,2012,75.0,200.0,1,0.0,30,75.0,60,0.0,25,50.0,50,100.0,75,50.0
SYA2012_S0096,SYA,2012,75.0,250.0,1,0.0,30,75.0,60,0.0,25,50.0,50,100.0,75,100.0
SYA2012_S0097,SYA,2012,75.0,100.0,1,0.0,30,75.0,60,0.0,25,100.0,50,0.0,75,0.0
SYA2012_S0098,SYA,2012,75.0,150.0,1,0.0,30,75.0,60,0.0,25,100.0,50,0.0,75,50.0
SYA2012_S0099,SYA,2012,75.0,200.0,1,0.0,30,75.0,60,0.0,25,100.0,50,0.0,75,100.0
SYA2012_S0100,SYA,2012,75.0,150.0,1,0.0,30,75.0,60,0.0,25,100.0,50,50.0,75,0.0
SYA2012_S0101,SYA,2012,75.0,200.0,1,0.0,30,75.0,60,0.0,25,100.0,50,50.0,75,50.0
SYA2012_S0102,SYA,2012,75.0,250.0,1,0.0,30,75.0,60,0.0,25,100.0,50,50.0,75,100.0
SYA2012_S0103,SYA,2012,75.0,200.0,1,0.0,30,75.0,60,0.0,25,100.0,50,100.0,75,0.0
SYA2012_S0104,SYA,2012,75.0,250.0,1,0.0,30,75.0,60,0.0,25,100.0,50,100.0,75,50.0
SYA2012_S0105,SYA,2012,150.0,0.0,1,0.0,30,75.0,60,75.0,25,0.0,50,0.0,75,0.0
SYA2012_S0106,SYA,2012,150.0,50.0,1,0.0,30,75.0,60,75.0,25,0.0,50,0.0,75,50.0
SYA2012_S0107,SYA,2012,150.0,100.0,1,0.0,30,75.0,60,75.0,25,0.0,50,0.0,75,100.0
SYA2012_S0108,SYA,2012,150.0,50.0,1,0.0,30,75.0,60,75.0,25,0.0,50,50.0,75,0.0
SYA2012_S0109,SYA,2012,150.0,100.0,1,0.0,30,75.0,60,75.0,25,0.0,50,50.0,75,50.0
SYA2012_S0110,SYA,2012,150.0,150.0,1,0.0,30,75.0,60,75.0,25,0.0,50,50.0,75,100.0
SYA2012_S0111,SYA,2012,150.0,100.0,1,0.0,30,75.0,60,75.0,25,0.0,50,100.0,75,0.0
SYA2012_S0112,SYA,2012,150.0,150.0,1,0.0,30,75.0,60,75.0,25,0.0,50,100.0,75,50.0
SYA2012_S0113,SYA,2012,150.0,200.0,1,0.0,30,75.0,60,75.0,25,0.0,50,100.0,75,100.0
SYA2012_S0114,SYA,2012,150.0,50.0,1,0.0,30,75.0,60,75.0,25,50.0,50,0.0,75,0.0
SYA2012_S0115,SYA,2012,150.0,100.0,1,0.0,30,75.0,60,75.0,25,50.0,50,0.0,75,50.0
SYA2012_S0116,SYA,2012,150.0,150.0,1,0.0,30,75.0,60,75.0,25,50.0,50,0.0,75,100.0
SYA2012_S0117,SYA,2012,150.0,100.0,1,0.0,30,75.0,60,75.0,25,50.0,50,50.0,75,0.0
SYA2012_S0118,SYA,2012,150.0,150.0,1,0.0,30,75.0,60,75.0,25,50.0,50,50.0,75,50.0
SYA2012_S0119,SYA,2012,150.0,200.0,1,0.0,30,75.0,60,75.0,25,50.0,50,50.0,75,100.0
SYA2012_S0120,SYA,2012,150.0,150.0,1,0.0,30,75.0,60,75.0,25,50.0,50,100.0,75,0.0
SYA2012_S0121,SYA,2012,150.0,200.0,1,0.0,30,75.0,60,75.0,25,50.0,50,100.0,75,50.0
SYA2012_S0122,SYA,2012,150.0,250.0,1,0.0,30,75.0,60,75.0,25,50.0,50,100.0,75,100.0
SYA2012_S0123,SYA,2012,150.0,100.0,1,0.0,30,75.0,60,75.0,25,100.0,50,0.0,75,0.0
SYA2012_S0124,SYA,2012,150.0,150.0,1,0.0,30,75.0,60,75.0,25,100.0,50,0.0,75,50.0
SYA2012_S0125,SYA,2012,150.0,200.0,1,0.0,30,75.0,60,75.0,25,100.0,50,0.0,75,100.0
SYA2012_S0126,SYA,2012,150.0,150.0,1,0.0,30,75.0,60,75.0,25,100.0,50,50.0,75,0.0
SYA2012_S0127,SYA,2012,150.0,200.0,1,0.0,30,75.0,60,75.0,25,100.0,50,50.0,75,50.0
SYA2012_S0128,SYA,2012,150.0,250.0,1,0.0,30,75.0,60,75.0,25,100.0,50,50.0,75,100.0
SYA2012_S0129,SYA,2012,150.0,200.0,1,0.0,30,75.0,60,75.0,25,100.0,50,100.0,75,0.0
SYA2012_S0130,SYA,2012,150.0,250.0,1,0.0,30,75.0,60,75.0,25,100.0,50,100.0,75,50.0
SYA2012_S0131,SYA,2012,225.0,0.0,1,0.0,30,75.0,60,150.0,25,0.0,50,0.0,75,0.0
SYA2012_S0132,SYA,2012,225.0,50.0,1,0.0,30,75.0,60,150.0,25,0.0,50,0.0,75,50.0
SYA2012_S0133,SYA,2012,225.0,100.0,1,0.0,30,75.0,60,150.0,25,0.0,50,0.0,75,100.0
SYA2012_S0134,SYA,2012,225.0,50.0,1,0.0,30,75.0,60,150.0,25,0.0,50,50.0,75,0.0
SYA2012_S0135,SYA,2012,225.0,100.0,1,0.0,30,75.0,60,150.0,25,0.0,50,50.0,75,50.0
SYA2012_S0136,SYA,2012,225.0,150.0,1,0.0,30,75.0,60,150.0,25,0.0,50,50.0,75,100.0
SYA2012_S0137,SYA,2012,225.0,100.0,1,0.0,30,75.0,60,150.0,25,0.0,50,100.0,75,0.0
SYA2012_S0138,SYA,2012,225.0,150.0,1,0.0,30,75.0,60,150.0,25,0.0,50,100.0,75,50.0
SYA2012_S0139,SYA,2012,225.0,200.0,1,0.0,30,75.0,60,150.0,25,0.0,50,100.0,75,100.0
SYA2012_S0140,SYA,2012,225.0,50.0,1,0.0,30,75.0,60,150.0,25,50.0,50,0.0,75,0.0
SYA2012_S0141,SYA,2012,225.0,100.0,1,0.0,30,75.0,60,150.0,25,50.0,50,0.0,75,50.0
SYA2012_S0142,SYA,2012,225.0,150.0,1,0.0,30,75.0,60,150.0,25,50.0,50,0.0,75,100.0
SYA2012_S0143,SYA,2012,225.0,100.0,1,0.0,30,75.0,60,150.0,25,50.0,50,50.0,75,0.0
SYA2012_S0144,SYA,2012,225.0,150.0,1,0.0,30,75.0,60,150.0,25,50.0,50,50.0,75,50.0
SYA2012_S0145,SYA,2012,225.0,200.0,1,0.0,30,75.0,60,150.0,25,50.0,50,50.0,75,100.0
SYA2012_S0146,SYA,2012,225.0,150.0,1,0.0,30,75.0,60,150.0,25,50.0,50,100.0,75,0.0
