schedule_id,station,train_year,total_N,total_irrigation,N1_DAP,N1_amount,N2_DAP,N2_amount,N3_DAP,N3_amount,I1_DAP,I1_amount,I2_DAP,I2_amount,I3_DAP,I3_amount
LCA2010_S0098,LCA,2010,75.0,150.0,1,0.0,30,75.0,60,0.0,25,100.0,50,0.0,75,50.0
LCA2010_S0099,LCA,2010,75.0,200.0,1,0.0,30,75.0,60,0.0,25,100.0,50,0.0,75,100.0
LCA2010_S0100,LCA,2010,75.0,150.0,1,0.0,30,75.0,60,0.0,25,100.0,50,50.0,75,0.0
LCA2010_S0101,LCA,2010,75.0,200.0,1,0.0,30,75.0,60,0.0,25,100.0,50,50.0,75,50.0
LCA2010_S0102,LCA,2010,75.0,250.0,1,0.0,30,75.0,60,0.0,25,100.0,50,50.0,75,100.0
LCA2010_S0103,LCA,2010,75.0,200.0,1,0.0,30,75.0,60,0.0,25,100.0,50,100.0,75,0.0
LCA2010_S0104,LCA,2010,75.0,250.0,1,0.0,30,75.0,60,0.0,25,100.0,50,100.0,75,50.0
LCA2010_S0105,LCA,2010,150.0,0.0,1,0.0,30,75.0,60,75.0,25,0.0,50,0.0,75,0.0
LCA2010_S0106,LCA,2010,150.0,50.0,1,0.0,30,75.0,60,75.0,25,0.0,50,0.0,75,50.0
LCA2010_S0107,LCA,2010,150.0,100.0,1,0.0,30,75.0,60,75.0,25,0.0,50,0.0,75,100.0
LCA2010_S0108,LCA,2010,150.0,50.0,1,0.0,30,75.0,60,75.0,25,0.0,50,50.0,75,0.0
LCA2010_S0109,LCA,2010,150.0,100.0,1,0.0,30,75.0,60,75.0,25,0.0,50,50.0,75,50.0
LCA2010_S0110,LCA,2010,150.0,150.0,1,0.0,30,75.0,60,75.0,25,0.0,50,50.0,75,100.0
LCA2010_S0111,LCA,2010,150.0,100.0,1,0.0,30,75.0,60,75.0,25,0.0,50,100.0,75,0.0
LCA2010_S0112,LCA,2010,150.0,150.0,1,0.0,30,75.0,60,75.0,25,0.0,50,100.0,75,50.0
LCA2010_S0113,LCA,2010,150.0,200.0,1,0.0,30,75.0,60,75.0,25,0.0,50,100.0,75,100.0
LCA2010_S0114,LCA,2010,150.0,50.0,1,0.0,30,75.0,60,75.0,25,50.0,50,0.0,75,0.0
LCA2010_S0115,LCA,2010,150.0,100.0,1,0.0,30,75.0,60,75.0,25,50.0,50,0.0,75,50.0
LCA2010_S0116,LCA,2010,150.0,150.0,1,0.0,30,75.0,60,75.0,25,50.0,50,0.0,75,100.0
LCA2010_S0117,LCA,2010,150.0,100.0,1,0.0,30,75.0,60,75.0,25,50.0,50,50.0,75,0.0
LCA2010_S0118,LCA,2010,150.0,150.0,1,0.0,30,75.0,60,75.0,25,50.0,50,50.0,75,50.0
LCA2010_S0119,LCA,2010,150.0,200.0,1,0.0,30,75.0,60,75.0,25,50.0,50,50.0,75,100.0
LCA2010_S0120,LCA,2010,150.0,150.0,1,0.0,30,75.0,60,75.0,25,50.0,50,100.0,75,0.0
LCA2010_S0121,LCA,2010,150.0,200.0,1,0.0,30,75.0,60,75.0,25,50.0,50,100.0,75,50.0
LCA2010_S0122,LCA,2010,150.0,250.0,1,0.0,30,75.0,60,75.0,25,50.0,50,100.0,75,100.0
LCA2010_S0123,LCA,2010,150.0,100.0,1,0.0,30,75.0,60,75.0,25,100.0,50,0.0,75,0.0
LCA2010_S0124,LCA,2010,150.0,150.0,1,0.0,30,75.0,60,75.0,25,100.0,50,0.0,75,50.0
LCA2010_S0125,LCA,2010,150.0,200.0,1,0.0,30,75.0,60,75.0,25,100.0,50,0.0,75,100.0
LCA2010_S0126,LCA,2010,150.0,150.0,1,0.0,30,75.0,60,75.0,25,100.0,50,50.0,75,0.0
LCA2010_S0127,LCA,2010,150.0,200.0,1,0.0,30,75.0,60,75.0,25,100.0,50,50.0,75,50.0
LCA2010_S0128,LCA,2010,150.0,250.0,1,0.0,30,75.0,60,75.0,25,100.0,50,50.0,75,100.0
LCA2010_S0129,LCA,2010,150.0,200.0,1,0.0,30,75.0,60,75.0,25,100.0,50,100.0,75,0.0
LCA2010_S0130,LCA,2010,150.0,250.0,1,0.0,30,75.0,60,75.0,25,100.0,50,100.0,75,50.0
LCA2010_S0131,LCA,2010,225.0,0.0,1,0.0,30,75.0,60,150.0,25,0.0,50,0.0,75,0.0
LCA2010_S0132,LCA,2010,225.0,50.0,1,0.0,30,75.0,60,150.0,25,0.0,50,0.0,75,50.0
LCA2010_S0133,LCA,2010,225.0,100.0,1,0.0,30,75.0,60,150.0,25,0.0,50,0.0,75,100.0
LCA2010_S0134,LCA,2010,225.0,50.0,1,0.0,30,75.0,60,150.0,25,0.0,50,50.0,75,0.0
LCA2010_S0135,LCA,2010,225.0,100.0,1,0.0,30,75.0,60,150.0,25,0.0,50,50.0,75,50.0
LCA2010_S0136,LCA,2010,225.0,150.0,1,0.0,30,75.0,60,150.0,25,0.0,50,50.0,75,100.0
LCA2010_S0137,LCA,2010,225.0,100.0,1,0.0,30,75.0,60,150.0,25,0.0,50,100.0,75,0.0
LCA2010_S0138,LCA,2010,225.0,150.0,1,0.0,30,75.0,60,150.0,25,0.0,50,100.0,75,50.0
LCA2010_S0139,LCA,2010,225.0,200.0,1,0.0,30,75.0,60,150.0,25,0.0,50,100.0,75,100.0
LCA2010_S0140,LCA,2010,225.0,50.0,1,0.0,30,75.0,60,150.0,25,50.0,50,0.0,75,0.0
LCA2010_S0141,LCA,2010,225.0,100.0,1,0.0,30,75.0,60,150.0,25,50.0,50,0.0,75,50.0
LCA2010_S0142,LCA,2010,225.0,150.0,1,0.0,30,75.0,60,150.0,25,50.0,50,0.0,75,100.0
