station,policy_name,model_type,eval_year,run_status,episode_completed,episode_length,final_grnwt,total_irrigation,total_n_fertilizer,mean_swfac,mean_nstres,profit_score,daily_csv_path,notes,expert_best_yield,expert_best_i,expert_best_n,yield_loss_vs_expert_best,yield_loss_vs_ppo_baseline,input_reduction_vs_ppo_baseline,irrigation_saturation_ratio_300_450,n_saturation_ratio_300_450
LCA,BC_two_stage_classifier_regressor_augmented,two_stage_classifier_regressor_augmented,2009,ok,True,102.0,6560.4168701171875,0.0,75.0,0.0,0.1205647324814516,46.85416870117187,Leave_One_experiments/expert_dataset_augmentation/daily_outputs/LCA/LCA_BC_two_stage_classifier_regressor_augmented_eval2009_daily.csv,augmented_policy_action_table_replay,7057.9693603515625,0.0,75.0,0.07049513320777459,0.0458785054593576,0.9,0.0,0.16666666666666666
HLA,best_expert_schedule_replay,expert_replay,2011,ok,True,169.0,6364.1424560546875,0.0,150.0,0.0,0.11264886552765524,26.141424560546874,Leave_One_experiments/expert_dataset_augmentation/daily_outputs/HLA/HLA_best_expert_schedule_replay_eval2011_daily.csv,augmented_policy_action_table_replay,5253.0572509765625,0.0,75.0,-0.21151210656833602,0.07442389228354218,0.8,0.0,0.3333333333333333
HLA,best_expert_schedule_replay,expert_replay,2007,ok,True,149.0,6799.5751953125,0.0,150.0,0.0,0.08510356881474489,30.495751953124994,Leave_One_experiments/expert_dataset_augmentation/daily_outputs/HLA/HLA_best_expert_schedule_replay_eval2007_daily.csv,augmented_policy_action_table_replay,5117.66357421875,0.0,75.0,-0.3286483366289873,0.011096249516662838,0.8,0.0,0.3333333333333333
HLA,best_expert_schedule_replay,expert_replay,2009,ok,True,159.0,7094.6240234375,0.0,150.0,0.0,0.18862174507581964,33.446240234375,Leave_One_experiments/expert_dataset_augmentation/daily_outputs/HLA/HLA_best_expert_schedule_replay_eval2009_daily.csv,augmented_policy_action_table_replay,7377.513427734375,0.0,150.0,0.0383448172704648,-0.03181450363004406,0.8,0.0,0.3333333333333333
SYA,best_expert_schedule_replay,expert_replay,2012,ok,True,135.0,9010.3125,0.0,150.0,0.0,0.05242769850624932,52.603125000000006,Leave_One_experiments/expert_dataset_augmentation/daily_outputs/SYA/SYA_best_expert_schedule_replay_eval2012_daily.csv,augmented_policy_action_table_replay,9270.888671875,0.0,150.0,0.02810692492355207,-0.31042477924496076,0.8,0.0,0.3333333333333333
SYA,best_expert_schedule_replay,expert_replay,2014,ok,True,144.0,8881.16943359375,0.0,150.0,0.050835895662506424,0.07546355430450705,51.3116943359375,Leave_One_experiments/expert_dataset_augmentation/daily_outputs/SYA/SYA_best_expert_schedule_replay_eval2014_daily.csv,augmented_policy_action_table_replay,7085.7855224609375,0.0,75.0,-0.25337824655314495,-0.2916427143291848,0.8,0.0,0.3333333333333333
SYA,best_expert_schedule_replay,expert_replay,2015,ok,True,143.0,9074.083862304688,0.0,150.0,0.0,0.07026212969859996,53.24083862304688,Leave_One_experiments/expert_dataset_augmentation/daily_outputs/SYA/SYA_best_expert_schedule_replay_eval2015_daily.csv,augmented_policy_action_table_replay,9254.323120117188,0.0,150.0,0.01947622267702034,-0.3196994379618777,0.8,0.0,0.3333333333333333
LCA,best_expert_schedule_replay,expert_replay,2010,ok,True,92.0,8008.47412109375,0.0,150.0,0.0,0.003781319312427355,42.58474121093751,Leave_One_experiments/expert_dataset_augmentation/daily_outputs/LCA/LCA_best_expert_schedule_replay_eval2010_daily.csv,augmented_policy_action_table_replay,6756.5509033203125,0.0,75.0,-0.18529028134135953,-0.16472130486298434,0.8,0.0,0.3333333333333333
LCA,best_expert_schedule_replay,expert_replay,2011,ok,True,102.0,8909.713134765625,0.0,150.0,0.0,0.0298672522984299,51.59713134765626,Leave_One_experiments/expert_dataset_augmentation/daily_outputs/LCA/LCA_best_expert_schedule_replay_eval2011_daily.csv,augmented_policy_action_table_replay,7061.177368164063,0.0,75.0,-0.26178860411237465,-0.2957939991272413,0.8,0.0,0.3333333333333333
LCA,best_expert_schedule_replay,expert_replay,2008,ok,True,105.0,9245.798950195312,0.0,150.0,0.0,0.025319461027781168,54.95798950195312,Leave_One_experiments/expert_dataset_augmentation/daily_outputs/LCA/LCA_best_expert_schedule_replay_eval2008_daily.csv,augmented_policy_action_table_replay,7431.153564453125,0.0,75.0,-0.24419430577003978,-0.34467301197966027,0.8,0.0,0.3333333333333333
LCA,best_expert_schedule_replay,expert_replay,2009,ok,True,102.0,8864.37744140625,0.0,150.0,0.0,0.015838941522673063,51.143774414062506,Leave_One_experiments/expert_dataset_augmentation/daily_outputs/LCA/LCA_best_expert_schedule_replay_eval2009_daily.csv,augmented_policy_action_table_replay,7057.9693603515625,0.0,75.0,-0.25593878193949954,-0.2892005523447489,0.8,0.0,0.3333333333333333
HLA,old_ppo_cap_saturated_baseline,,2011,reference_only,True,,6875.87158203125,300.0,450.0,,,-193.7412841796875,,reference_300mm_450kgN_not_rerun,,,,,,,,
HLA,old_ppo_cap_saturated_baseline,,2007,reference_only,True,,6875.87158203125,300.0,450.0,,,-193.7412841796875,,reference_300mm_450kgN_not_rerun,,,,,,,,
HLA,old_ppo_cap_saturated_baseline,,2009,reference_only,True,,6875.87158203125,300.0,450.0,,,-193.7412841796875,,reference_300mm_450kgN_not_rerun,,,,,,,,
SYA,old_ppo_cap_saturated_baseline,,2012,reference_only,True,,6875.87158203125,300.0,450.0,,,-193.7412841796875,,reference_300mm_450kgN_not_rerun,,,,,,,,
SYA,old_ppo_cap_saturated_baseline,,2014,reference_only,True,,6875.87158203125,300.0,450.0,,,-193.7412841796875,,reference_300mm_450kgN_not_rerun,,,,,,,,
SYA,old_ppo_cap_saturated_baseline,,2015,reference_only,True,,6875.87158203125,300.0,450.0,,,-193.7412841796875,,reference_300mm_450kgN_not_rerun,,,,,,,,
LCA,old_ppo_cap_saturated_baseline,,2010,reference_only,True,,6875.87158203125,300.0,450.0,,,-193.7412841796875,,reference_300mm_450kgN_not_rerun,,,,,,,,
LCA,old_ppo_cap_saturated_baseline,,2011,reference_only,True,,6875.87158203125,300.0,450.0,,,-193.7412841796875,,reference_300mm_450kgN_not_rerun,,,,,,,,
LCA,old_ppo_cap_saturated_baseline,,2008,reference_only,True,,6875.87158203125,300.0,450.0,,,-193.7412841796875,,reference_300mm_450kgN_not_rerun,,,,,,,,
LCA,old_ppo_cap_saturated_baseline,,2009,reference_only,True,,6875.87158203125,300.0,450.0,,,-193.7412841796875,,reference_300mm_450kgN_not_rerun,,,,,,,,
