schedule_id,station,eval_year,run_status,episode_completed,episode_length,final_grnwt,final_topwt,final_xlai,total_irrigation,total_n_fertilizer,planned_total_irrigation,planned_total_n,mean_swfac,mean_nstres,yield_per_100mm_irrigation,yield_per_100kg_n,profit_score,daily_csv_path,notes,expert_type,copied_daily_csv_path
HLA2011_S0261,HLA,2011,ok,True,169,6310.7275390625,14959.112548828123,0.0001870117121143,0.0,150.0,0.0,150.0,0.0,0.1150947565863118,,4207.151692708333,25.607275390625,Leave_One_experiments/offline_schedule_search/daily_outputs/HLA/HLA_HLA2011_S0261_eval2011_daily.csv,,top_profit;pareto_balanced;low_input_within_5pct_yield_loss;low_input_within_10pct_yield_loss,Leave_One_experiments\expert_dataset_augmentation\daily_outputs\HLA\HLA_HLA2011_S0261_eval2011_daily.csv
HLA2011_S0261,HLA,2007,ok,True,149,6339.8974609375,16352.01171875,0.7835820317268372,0.0,150.0,0.0,150.0,0.0,0.1076901883086902,,4226.598307291667,25.898974609375003,Leave_One_experiments/offline_schedule_search/daily_outputs/HLA/HLA_HLA2011_S0261_eval2007_daily.csv,,top_profit;pareto_balanced;low_input_within_5pct_yield_loss;low_input_within_10pct_yield_loss,Leave_One_experiments\expert_dataset_augmentation\daily_outputs\HLA\HLA_HLA2011_S0261_eval2007_daily.csv
HLA2011_S0261,HLA,2009,ok,True,159,7244.5458984375,15008.51806640625,0.1236667484045028,0.0,150.0,0.0,150.0,0.0,0.1511780801434187,,4829.697265625,34.94545898437501,Leave_One_experiments/offline_schedule_search/daily_outputs/HLA/HLA_HLA2011_S0261_eval2009_daily.csv,,top_profit;pareto_balanced;low_input_within_5pct_yield_loss;low_input_within_10pct_yield_loss,Leave_One_experiments\expert_dataset_augmentation\daily_outputs\HLA\HLA_HLA2011_S0261_eval2009_daily.csv
HLA2011_S0313,HLA,2011,ok,True,169,6279.78271484375,14865.904541015623,0.0001801757753128,0.0,150.0,0.0,150.0,0.0,0.1181672924369044,,4186.521809895833,25.2978271484375,Leave_One_experiments/offline_schedule_search/daily_outputs/HLA/HLA_HLA2011_S0313_eval2011_daily.csv,,top_profit;low_input_within_10pct_yield_loss,Leave_One_experiments\expert_dataset_augmentation\daily_outputs\HLA\HLA_HLA2011_S0313_eval2011_daily.csv
HLA2011_S0313,HLA,2007,ok,True,149,6225.138549804688,16329.95361328125,0.7854247689247131,0.0,150.0,0.0,150.0,0.0,0.1063653572693767,,4150.092366536458,24.75138549804688,Leave_One_experiments/offline_schedule_search/daily_outputs/HLA/HLA_HLA2011_S0313_eval2007_daily.csv,,top_profit;low_input_within_10pct_yield_loss,Leave_One_experiments\expert_dataset_augmentation\daily_outputs\HLA\HLA_HLA2011_S0313_eval2007_daily.csv
HLA2011_S0313,HLA,2009,ok,True,159,7089.525146484375,14625.576171875,0.1076467260718345,0.0,150.0,0.0,150.0,0.0,0.1697017154041326,,4726.35009765625,33.39525146484375,Leave_One_experiments/offline_schedule_search/daily_outputs/HLA/HLA_HLA2011_S0313_eval2009_daily.csv,,top_profit;low_input_within_10pct_yield_loss,Leave_One_experiments\expert_dataset_augmentation\daily_outputs\HLA\HLA_HLA2011_S0313_eval2009_daily.csv
HLA2011_S0027,HLA,2011,ok,True,169,5253.0572509765625,10228.418579101562,6.799316179240122e-05,0.0,75.0,0.0,75.0,0.0,0.2901030223397813,,7004.076334635417,33.780572509765626,Leave_One_experiments/offline_schedule_search/daily_outputs/HLA/HLA_HLA2011_S0027_eval2011_daily.csv,,top_profit,Leave_One_experiments\expert_dataset_augmentation\daily_outputs\HLA\HLA_HLA2011_S0027_eval2011_daily.csv
HLA2011_S0027,HLA,2007,ok,True,149,5117.66357421875,10690.478515625,0.3517667055130005,0.0,75.0,0.0,75.0,0.0,0.2406093230183492,,6823.551432291667,32.4266357421875,Leave_One_experiments/offline_schedule_search/daily_outputs/HLA/HLA_HLA2011_S0027_eval2007_daily.csv,,top_profit,Leave_One_experiments\expert_dataset_augmentation\daily_outputs\HLA\HLA_HLA2011_S0027_eval2007_daily.csv
HLA2011_S0027,HLA,2009,ok,True,159,5001.346435546875,9369.363403320312,0.0615498013794422,0.0,75.0,0.0,75.0,0.0,0.2939533502238352,,6668.4619140625,31.26346435546875,Leave_One_experiments/offline_schedule_search/daily_outputs/HLA/HLA_HLA2011_S0027_eval2009_daily.csv,,top_profit,Leave_One_experiments\expert_dataset_augmentation\daily_outputs\HLA\HLA_HLA2011_S0027_eval2009_daily.csv
SYA2012_S0131,SYA,2012,ok,True,135,10114.620361328123,16707.509765625,1.1895753145217896,0.0,225.0,0.0,225.0,0.0,0.0004247294531928,,4495.386827256944,44.89620361328126,Leave_One_experiments/offline_schedule_search/daily_outputs/SYA/SYA_SYA2012_S0131_eval2012_daily.csv,,top_yield,Leave_One_experiments\expert_dataset_augmentation\daily_outputs\SYA\SYA_SYA2012_S0131_eval2012_daily.csv
SYA2012_S0131,SYA,2014,ok,True,144,9389.185791015623,17599.879150390625,1.514118194580078,0.0,225.0,0.0,225.0,0.0593667507378591,0.0003977790474891,,4172.971462673611,37.64185791015625,Leave_One_experiments/offline_schedule_search/daily_outputs/SYA/SYA_SYA2012_S0131_eval2014_daily.csv,,top_yield,Leave_One_experiments\expert_dataset_augmentation\daily_outputs\SYA\SYA_SYA2012_S0131_eval2014_daily.csv
SYA2012_S0131,SYA,2015,ok,True,143,11054.913330078123,19133.49975585937,1.414906620979309,0.0,225.0,0.0,225.0,0.0,0.0068301887778969,,4913.294813368056,54.29913330078125,Leave_One_experiments/offline_schedule_search/daily_outputs/SYA/SYA_SYA2012_S0131_eval2015_daily.csv,,top_yield,Leave_One_experiments\expert_dataset_augmentation\daily_outputs\SYA\SYA_SYA2012_S0131_eval2015_daily.csv
SYA2012_S0132,SYA,2012,ok,True,135,10106.84814453125,16656.83349609375,1.186303734779358,50.0,225.0,50.0,225.0,0.0,0.0004247294531928,20213.6962890625,4491.932508680556,19.8184814453125,Leave_One_experiments/offline_schedule_search/daily_outputs/SYA/SYA_SYA2012_S0132_eval2012_daily.csv,,top_yield,Leave_One_experiments\expert_dataset_augmentation\daily_outputs\SYA\SYA_SYA2012_S0132_eval2012_daily.csv
SYA2012_S0132,SYA,2014,ok,True,144,11002.913818359377,19635.341796875,1.51371967792511,50.0,225.0,50.0,225.0,0.0001463215384218,0.0077908668253156,22005.82763671875,4890.183919270833,28.77913818359376,Leave_One_experiments/offline_schedule_search/daily_outputs/SYA/SYA_SYA2012_S0132_eval2014_daily.csv,,top_yield,Leave_One_experiments\expert_dataset_augmentation\daily_outputs\SYA\SYA_SYA2012_S0132_eval2014_daily.csv
SYA2012_S0132,SYA,2015,ok,True,143,11095.9814453125,19152.291259765625,1.4117248058319092,50.0,225.0,50.0,225.0,0.0,0.0041311074803759,22191.962890625,4931.547309027777,29.70981445312501,Leave_One_experiments/offline_schedule_search/daily_outputs/SYA/SYA_SYA2012_S0132_eval2015_daily.csv,,top_yield,Leave_One_experiments\expert_dataset_augmentation\daily_outputs\SYA\SYA_SYA2012_S0132_eval2015_daily.csv
SYA2012_S0133,SYA,2012,ok,True,135,10106.84814453125,16656.83349609375,1.186303734779358,50.0,225.0,100.0,225.0,0.0,0.0004247294531928,20213.6962890625,4491.932508680556,19.8184814453125,Leave_One_experiments/offline_schedule_search/daily_outputs/SYA/SYA_SYA2012_S0133_eval2012_daily.csv,,top_yield,Leave_One_experiments\expert_dataset_augmentation\daily_outputs\SYA\SYA_SYA2012_S0133_eval2012_daily.csv
SYA2012_S0133,SYA,2014,ok,True,144,11002.913818359377,19635.341796875,1.51371967792511,50.0,225.0,100.0,225.0,0.0001463215384218,0.0077908668253156,22005.82763671875,4890.183919270833,28.77913818359376,Leave_One_experiments/offline_schedule_search/daily_outputs/SYA/SYA_SYA2012_S0133_eval2014_daily.csv,,top_yield,Leave_One_experiments\expert_dataset_augmentation\daily_outputs\SYA\SYA_SYA2012_S0133_eval2014_daily.csv
SYA2012_S0133,SYA,2015,ok,True,143,11095.9814453125,19152.291259765625,1.4117248058319092,50.0,225.0,100.0,225.0,0.0,0.0041311074803759,22191.962890625,4931.547309027777,29.70981445312501,Leave_One_experiments/offline_schedule_search/daily_outputs/SYA/SYA_SYA2012_S0133_eval2015_daily.csv,,top_yield,Leave_One_experiments\expert_dataset_augmentation\daily_outputs\SYA\SYA_SYA2012_S0133_eval2015_daily.csv
SYA2012_S0209,SYA,2012,ok,True,135,10105.8544921875,16652.39013671875,1.185883402824402,0.0,300.0,0.0,300.0,0.0,0.0004247294531928,,3368.6181640625,26.058544921875,Leave_One_experiments/offline_schedule_search/daily_outputs/SYA/SYA_SYA2012_S0209_eval2012_daily.csv,,top_yield,Leave_One_experiments\expert_dataset_augmentation\daily_outputs\SYA\SYA_SYA2012_S0209_eval2012_daily.csv
SYA2012_S0209,SYA,2014,ok,True,144,9673.192749023438,17871.221923828125,1.5141085386276243,0.0,300.0,0.0,300.0,0.0517204184499051,0.0003977790474891,,3224.3975830078125,21.731927490234384,Leave_One_experiments/offline_schedule_search/daily_outputs/SYA/SYA_SYA2012_S0209_eval2014_daily.csv,,top_yield,Leave_One_experiments\expert_dataset_augmentation\daily_outputs\SYA\SYA_SYA2012_S0209_eval2014_daily.csv
SYA2012_S0209,SYA,2015,ok,True,143,11141.025390625,19217.271728515625,1.4145395755767822,0.0,300.0,0.0,300.0,0.0,0.0003443585409151,,3713.6751302083335,36.410253906250006,Leave_One_experiments/offline_schedule_search/daily_outputs/SYA/SYA_SYA2012_S0209_eval2015_daily.csv,,top_yield,Leave_One_experiments\expert_dataset_augmentation\daily_outputs\SYA\SYA_SYA2012_S0209_eval2015_daily.csv
SYA2012_S0183,SYA,2012,ok,True,135,10105.756225585938,16653.02978515625,1.185843586921692,0.0,225.0,0.0,225.0,0.0,0.0004247294531928,,4491.447211371527,44.80756225585938,Leave_One_experiments/offline_schedule_search/daily_outputs/SYA/SYA_SYA2012_S0183_eval2012_daily.csv,,top_yield,Leave_One_experiments\expert_dataset_augmentation\daily_outputs\SYA\SYA_SYA2012_S0183_eval2012_daily.csv
